protID	matched	geneID	cov1	cov4	cov9	cov14	rpkm1	rpkm4	rpkm9	rpkm14	nsaf1	nsaf4	nsaf9	nsaf14	nadjspc1	nadjspc4	nadjspc9	nadjspc14
GRMZM2G056388	x	GRMZM2G056388	273.3333333	99.39535289	82.88947763	120.3931946	20.04276851	7.288383108	6.07805346	8.82809609	2.40235E-05	3.52547E-05	1.14454E-05	0	1.9478E-05	3.12578E-05	1.03829E-05	0
GRMZM2G056393	x	GRMZM2G056393	775	299.328534	210.3113924	273.2056093	18.97661469	7.329344847	5.149675173	6.689700104	0.000148761	0	0	0	0.000377043	0	0	0
GRMZM2G056424	x	GRMZM2G056424	2384.5	3944.396044	6009.269686	7474.693272	188.0978691	311.1480356	474.0326369	589.6304788	0.00022082	0.001218413	0.001868005	0.003600829	0.00015113	0.000855139	0.001344711	0.00234067
GRMZM2G056501	x	GRMZM2G056501	1195.5	1677.344183	1131.663162	1396.826305	54.43334769	76.37261324	51.52673724	63.60011036	0	0	3.57096E-05	0	0	0	2.69956E-05	0
GRMZM2G056569	x	GRMZM2G056569	2714.5	926.547485	461.85008	588.4088447	107.5586783	36.71328894	18.30023362	23.31496688	0.00030646	0.000246965	1.58475E-05	0	0.000546087	0.000464405	3.11488E-05	0
GRMZM2G056870	x	GRMZM2G056870	1828.297222	498.6111389	219.3626351	193.2318843	69.4021506	18.92727557	8.327004193	7.335081066	0.000823122	0.000842156	0.000269799	0.000249522	0.000792385	0.000839059	0.000273741	0.000239655
GRMZM2G056908	x	GRMZM2G056908	65.58333333	89.113075	122.4902953	354.3715476	4.130222417	5.612048082	7.714035528	22.31715339	0	0.000662797	0.000315922	0	0	9.04268E-05	4.43931E-05	0
GRMZM2G056975	x	GRMZM2G056975	636.65	2239.765742	2342.267028	2603.86755	22.81830256	80.275901	83.94967048	93.32574819	0	0	0	1.33082E-05	0	0	0	2.16469E-05
GRMZM2G057000	x	GRMZM2G057000	16945	251.9158082	40.70543078	77.80612822	365.8862607	5.439512131	0.878935253	1.680035014	0.000203585	0	0	0	0.000422961	0	0	0
GRMZM2G057091	x	GRMZM2G057091	1026.5	1692.00595	329.8183622	263.037763	47.68650389	78.60287219	15.32185545	12.21953367	5.11195E-05	0.000388274	0.000282936	0	3.58269E-05	0.000276858	0.00021052	0
GRMZM2G057231	x	GRMZM2G057231	2713	2734.743175	1797.475283	950.472589	164.8131624	166.1340476	109.1955716	57.74065359	0.000284426	0.000522714	0.000153838	0	0.000198612	0.000366169	0.000109552	0
