"Protein","rep1-triple","rep2-triple","rep3-triple","rep1-wt","rep2-wt","rep3-wt","LogFoldChange","Zstatistic","fdr","FDRup","FDRdown"
"AT2G36530.1",54,55,62,79,46,41,-0.029,-0.2654,0.887133,0.908519,1
"AT1G25490.1",3,13,7,2,0,8,-0.713,-1.9855,0.887372,1,0.509361
"AT1G17220.1",3,13,3,7,7,3,-0.092,-0.2659,0.887458,0.908519,1
"AT1G18170.1",0,0,0,1,1,2,0.292,0.3442,0.887708,0.992487,0.959937
"AT2G03120.1",0,0,0,0,2,1,0.285,0.3442,0.887708,0.992487,0.959937
"AT3G53420.1",4,23,8,4,26,8,0.084,0.3447,0.887994,0.992487,0.959937
"AT4G30620.1",0,0,1,1,2,0,0.263,0.3452,0.888279,0.992775,0.959851
"AT5G19510.1",19,9,15,10,15,22,0.075,0.3458,0.888622,0.992774,0.959851
"AT3G07480.1",2,6,2,2,4,3,-0.127,-0.2683,0.889023,0.908484,1
"AT5G13450.1",17,14,16,12,20,12,-0.059,-0.2686,0.889219,0.908484,1
"AT5G42150.1",0,0,0,0,0,2,0.288,0.3469,0.889252,0.992773,0.959852
"AT2G45770.1",2,1,4,1,2,3,-0.163,-0.2693,0.889678,0.908453,1
"AT1G08520.1",7,23,12,13,24,8,0.075,0.3491,0.890515,0.993057,0.959769
"AT4G38200.1",0,1,0,0,2,0,0.3,0.3497,0.89086,0.993339,0.959687
"AT1G02140.1",0,3,0,3,2,0,0.231,0.3517,0.892012,0.993618,0.959607
"AT5G43830.1",2,6,6,4,5,7,0.133,0.3525,0.892474,0.993617,0.959607
"AT1G70600.1",2,7,5,0,7,8,0.125,0.3534,0.892994,0.993616,0.959608
"AT4G37660.1",0,0,0,2,0,0,0.295,0.3538,0.893226,0.993894,0.95953
"AT5G54770.1",34,44,46,31,34,54,-0.036,-0.2753,0.893636,0.908372,1
"AT4G20980.1",0,9,4,2,6,4,-0.112,-0.2764,0.894368,0.908372,1
"AT4G37270.1",0,0,0,0,1,2,0.282,0.3563,0.894675,0.994167,0.959454
"AT3G56460.1",5,2,5,4,6,4,0.149,0.3564,0.894733,0.994166,0.959454
"AT2G18110.1",0,2,1,0,0,2,-0.189,-0.2779,0.895368,0.90835,1
"AT3G01120.1",7,4,4,10,4,3,0.127,0.3576,0.89543,0.994166,0.959454
"AT1G52600.1",0,0,0,0,2,0,0.297,0.3579,0.895604,0.994438,0.95938
"AT1G21380.1",0,0,0,0,2,0,0.29,0.3583,0.895837,0.994438,0.95938
"AT3G59970.3",33,66,50,47,21,51,-0.229,-1.975,0.895909,1,0.514532
"AT4G14420.1",0,2,0,1,3,1,0.259,0.3587,0.89607,0.994437,0.95938
"AT1G49430.1",0,0,0,0,1,2,0.293,0.359,0.896245,0.994437,0.95938
"sum123",0,0,0,2,0,0,0.29,0.3592,0.896362,0.994437,0.95938
"AT3G11400.1",0,2,5,0,2,4,-0.148,-0.2794,0.896371,0.908349,1
"AT3G13845.1",0,0,0,2,0,0,0.304,0.3608,0.897295,0.994705,0.959307
"AT3G62110.1",0,2,0,3,0,0,0.26,0.3617,0.897821,0.994704,0.959308
"AT4G02340.1",0,0,0,0,0,2,0.285,0.3617,0.897821,0.994704,0.959308
"AT4G14100.1",0,1,1,0,0,2,0.296,0.3624,0.89823,0.994971,0.959237
"AT1G78300.1",11,10,25,10,11,23,-0.057,-0.2822,0.898252,0.908312,1
"AT4G21445.1",0,2,2,1,2,3,0.227,0.3625,0.898289,0.994971,0.959237
"AT5G63840.1",1,6,0,3,3,0,-0.147,-0.2824,0.898387,0.908312,1
"AT2G14120.1",0,1,0,0,2,0,0.291,0.3633,0.898757,0.99497,0.959237
"AT4G21100.1",2,2,2,2,2,0,-0.176,-0.2835,0.899129,0.908311,1
"AT3G21865.1",0,0,0,0,1,2,0.294,0.364,0.899168,0.99497,0.959237
"AT1G72750.1",2,3,2,3,1,2,-0.173,-0.2836,0.899196,0.908311,1
"AT2G36145.1",0,2,1,3,1,0,0.247,0.3641,0.899226,0.99497,0.959237
"AT5G43330.1",3,6,0,0,0,0,-1.424,-1.9705,0.899566,1,0.516609
"AT1G75040.1",0,0,0,2,1,1,0.296,0.365,0.899754,0.995233,0.959168
"AT4G33590.1",2,0,1,0,0,3,0.251,0.3658,0.900224,0.995233,0.959168
"AT2G20890.1",19,38,39,18,44,39,0.054,0.366,0.900342,0.995233,0.959169
"AT3G18890.1",18,12,5,11,31,11,0.433,2.0569,0.90115,0.314008,0.997328
"AT1G29660.1",8,8,13,3,10,14,-0.075,-0.2865,0.901161,0.908284,1
"AT4G14870.1",0,2,0,3,0,0,0.264,0.3675,0.901224,0.995493,0.959101
"AT5G23140.1",4,6,4,2,8,6,0.132,0.3688,0.90199,0.995751,0.959036
"AT4G26970.1",9,25,4,20,18,2,0.083,0.3692,0.902226,0.995751,0.959036
"AT5G40770.1",13,9,9,12,13,10,0.088,0.3692,0.902226,0.995751,0.959036
"AT5G19370.1",1,2,1,0,0,3,0.264,0.3694,0.902344,0.995751,0.959036
"AT1G26110.1",1,1,0,0,2,0,0.287,0.3697,0.902521,0.99575,0.959036
"AT3G55400.1",3,8,1,0,0,2,-1.204,-1.9663,0.902979,1,0.51869
"AT4G11220.1",1,0,0,0,0,2,0.298,0.3705,0.902994,0.99575,0.959036
"AT4G28706.2",0,0,0,0,2,0,0.31,0.3709,0.90323,0.996006,0.958972
"AT5G54430.1",0,0,1,2,1,0,0.298,0.371,0.903289,0.996006,0.958972
"AT2G34680.1",0,0,0,0,2,0,0.296,0.3711,0.903349,0.996006,0.958972
"AT1G75690.1",2,0,0,2,2,0,0.257,0.3715,0.903585,0.996005,0.958972
"AT1G21680.1",2,5,0,3,3,0,-0.152,-0.2903,0.903752,0.908265,1
"AT3G43540.1",6,0,5,0,2,0,-1.16,-1.9651,0.903953,1,0.51973
"AT3G12800.1",0,1,0,0,2,1,0.304,0.3739,0.905007,0.996257,0.958911
"AT4G30220.1",0,0,2,2,0,2,0.267,0.3741,0.905125,0.996256,0.958911
"AT2G18040.1",0,1,1,1,2,0,0.317,0.3746,0.905422,0.996256,0.958911
"AT1G34000.1",3,13,11,7,11,7,-0.083,-0.2931,0.905674,0.908259,1
"AT3G17210.1",0,0,4,3,1,1,-0.183,-0.2936,0.906018,0.908259,1
"AT1G15690.1",37,58,33,40,44,50,0.047,0.3758,0.906135,0.996506,0.95885
"AT1G12920.1",0,0,0,2,0,0,0.329,0.3767,0.90667,0.996505,0.958851
"sum28",28,48,53,33,28,37,-0.265,-1.9617,0.906715,1,0.521817
"AT3G44330.1",1,2,0,2,1,2,0.258,0.3769,0.906789,0.996505,0.958851
"AT3G52200.1",1,1,0,2,1,0,0.307,0.3772,0.906968,0.996753,0.958792
"AT3G56130.1",0,0,0,0,2,0,0.29,0.3775,0.907147,0.996753,0.958792
"AT1G71310.1",1,0,1,1,2,0,0.296,0.3777,0.907266,0.996752,0.958792
"AT2G39470.1",0,9,1,6,4,3,0.16,0.3779,0.907385,0.996752,0.958792
"AT2G36130.1",0,0,0,2,0,1,0.296,0.3779,0.907385,0.996752,0.958792
"AT1G17100.1",8,11,7,8,15,6,0.106,0.3782,0.907564,0.996752,0.958792
"AT1G04690.1",0,3,1,0,0,2,-0.209,-0.2961,0.907744,0.908255,1
"AT1G22520.1",1,0,1,0,2,1,0.321,0.3786,0.907802,0.996752,0.958792
"AT5G19855.1",0,0,0,2,1,0,0.319,0.379,0.908041,0.996751,0.958792
"AT5G55850.1",0,0,0,2,0,0,0.311,0.3792,0.90816,0.996751,0.958793
"AT4G27800.1",1,1,1,0,0,2,0.304,0.3797,0.908458,0.996996,0.958735
"AT4G36810.1",9,7,10,4,4,5,-0.715,-1.9593,0.908663,1,0.522863
"AT1G30400.1",1,0,0,0,2,0,0.312,0.3806,0.908996,0.996995,0.958735
"AT3G10690.1",0,2,0,0,3,0,0.28,0.3812,0.909354,0.996995,0.958736
"AT5G20290.1",15,23,19,13,17,31,0.07,0.3813,0.909414,0.996995,0.958736
"AT2G41090.1",0,0,0,0,0,2,0.315,0.3826,0.910192,0.997236,0.95868
"AT1G12270.1",3,2,2,4,1,0,-0.168,-0.2998,0.910312,0.908255,1
"AT2G17130.1",0,1,0,0,0,0,-0.242,-0.3,0.910451,0.908255,1
"AT1G75950.1",0,1,3,0,1,2,-0.215,-0.3016,0.911567,0.908259,1
"sum34",5,6,7,7,10,4,0.117,0.3864,0.912471,0.997709,0.958575
"AT5G08410.1",0,3,2,1,1,3,-0.186,-0.3035,0.912897,0.908264,1
"AT1G01800.1",5,4,5,2,4,10,0.142,0.3874,0.913072,0.997708,0.958576
"AT4G24830.1",17,11,18,21,13,9,-0.066,-0.3039,0.913177,0.908264,1
"ATCG00710.1",0,6,3,0,10,0,0.167,0.3887,0.913854,0.997941,0.958525
"AT2G21660.1",8,18,19,25,19,22,0.392,2.0438,0.914079,0.320828,0.997371
"AT1G15340.1",4,2,0,3,2,0,-0.175,-0.3055,0.914301,0.908272,1
"ATCG01110.1",1,17,6,4,15,8,0.111,0.3899,0.914578,0.99794,0.958526
"AT3G06860.1",0,2,2,1,2,1,-0.223,-0.3063,0.914864,0.908272,1
"AT4G39090.1",0,1,0,0,2,0,0.326,0.3905,0.914939,0.99817,0.958477
"AT1G48620.1",2,0,0,3,1,0,0.264,0.3907,0.91506,0.99817,0.958477
"AT1G02910.1",0,0,0,1,0,2,0.321,0.391,0.915241,0.998169,0.958477
"AT3G02090.1",21,29,26,22,9,22,-0.357,-1.9508,0.91556,1,0.527055
"AT2G15620.1",18,47,43,30,39,45,0.052,0.3925,0.916147,0.998396,0.95843
"AT5G57290.1",6,6,4,5,9,4,0.137,0.3928,0.916328,0.998396,0.95843
"AT2G39970.1",0,0,1,0,2,1,0.314,0.3935,0.916751,0.998395,0.95843
"AT2G39730.1",408,574,496,476,428,479,-0.069,-1.9493,0.916776,1,0.527057
"AT5G64040.1",16,15,19,15,12,5,-0.452,-1.9492,0.916857,1,0.527058
"AT5G15970.1",2,0,0,3,0,0,0.275,0.3937,0.916872,0.998395,0.95843
"AT1G56190.1",20,51,40,25,39,43,-0.042,-0.3096,0.917194,0.908294,1
"AT4G14300.1",0,1,0,0,2,0,0.335,0.3947,0.917478,0.99862,0.958385
"AT1G24100.1",3,2,3,3,3,0,-0.165,-0.3108,0.918044,0.908294,1
"AT3G16470.1",5,13,3,6,7,6,-0.101,-0.3115,0.918541,0.908294,1
"AT4G35360.1",2,0,4,1,4,1,-0.177,-0.3116,0.918612,0.908293,1
"AT5G41790.1",0,0,0,0,9,0,1.428,2.0389,0.918893,0.323121,0.997384
"AT5G59880.1",12,20,14,17,10,16,-0.068,-0.312,0.918896,0.908309,1
"AT2G17930.1",0,0,0,0,2,0,0.315,0.3975,0.919175,0.998839,0.958341
"AT4G39520.1",1,0,0,0,2,0,0.317,0.3981,0.919539,0.998839,0.958342
"AT1G71040.1",0,0,0,0,2,0,0.32,0.3983,0.919661,0.998839,0.958342
"AT3G51820.1",2,2,2,2,2,0,-0.204,-0.3132,0.91975,0.908308,1
"AT5G51720.1",0,1,1,2,0,1,0.32,0.3991,0.920147,0.999057,0.958299
"AT4G17330.1",0,0,0,0,2,0,0.334,0.3993,0.920268,0.999057,0.958299
"AT4G29590.1",0,0,0,0,2,0,0.325,0.3996,0.92045,0.999056,0.958299
"AT1G52230.1",6,15,15,4,10,18,-0.075,-0.3151,0.921105,0.908325,1
"AT2G38770.1",0,2,0,3,1,0,0.285,0.4007,0.92112,0.999272,0.958259
"AT5G16715.1",2,4,2,0,5,0,-0.171,-0.3154,0.921319,0.908325,1
"AT5G58870.1",0,1,1,0,0,2,0.332,0.4013,0.921485,0.999271,0.958259
"AT1G32200.1",2,5,1,2,1,4,-0.165,-0.3157,0.921533,0.908325,1
"AT1G29470.1",0,8,1,6,5,1,0.173,0.4016,0.921667,0.999271,0.958259
"AT3G54760.1",0,0,0,2,0,0,0.336,0.4016,0.921667,0.999271,0.958259
"AT5G17420.1",0,0,0,1,2,0,0.328,0.402,0.921911,0.99927,0.958259
"AT1G33680.1",0,1,0,2,0,0,0.331,0.4023,0.922094,0.99927,0.958259
"AT2G47390.1",16,20,6,16,24,6,0.088,0.4025,0.922216,0.99927,0.958259
"AT5G02240.1",16,16,25,7,9,23,-0.39,-1.942,0.922691,1,0.531265
"AT1G52220.1",2,3,1,2,2,1,-0.201,-0.3176,0.922894,0.908344,1
"AT1G64850.1",0,0,1,0,2,0,0.334,0.4037,0.922947,0.999482,0.95822
"ATCG00630.1",0,0,1,0,0,2,0.334,0.4048,0.923619,0.999481,0.958221
"AT5G39730.1",0,0,1,2,0,0,0.32,0.405,0.923741,0.999692,0.958183
"AT4G26500.1",2,0,0,2,1,2,0.274,0.4053,0.923924,0.999691,0.958183
"AT2G31170.1",0,0,1,2,0,0,0.329,0.4055,0.924046,0.999691,0.958183
"AT4G30270.1",0,0,0,2,0,0,0.319,0.4055,0.924046,0.999691,0.958183
"AT1G74020.1",0,0,2,0,0,0,-0.265,-0.3195,0.924258,0.908365,1
"AT4G37200.1",1,0,0,2,0,0,0.323,0.4061,0.924412,0.99969,0.958183
"AT3G62550.1",0,0,1,0,2,0,0.328,0.4071,0.925024,0.99969,0.958183
"AT5G55610.1",0,0,0,0,2,0,0.33,0.4071,0.925024,0.99969,0.958183
"sum92",0,0,3,0,0,2,-0.221,-0.3206,0.925049,0.908389,1
"AT2G42210.1",4,14,7,11,6,11,0.112,0.4075,0.925268,0.999896,0.958147
"AT3G28200.1",0,0,0,0,2,0,0.328,0.4076,0.925329,0.999896,0.958147
"AT2G22170.1",1,6,4,3,9,1,0.166,0.4077,0.925391,0.999896,0.958147
"AT5G39210.1",0,1,0,1,2,0,0.326,0.4077,0.925391,0.999896,0.958147
"AT1G52760.1",2,0,2,0,0,2,-0.226,-0.3213,0.925553,0.908388,1
"AT5G53140.1",2,2,0,2,0,0,-0.222,-0.3214,0.925625,0.908388,1
"AT4G38460.1",0,0,1,0,2,0,0.335,0.4089,0.926125,0.999895,0.958148
"AT2G47250.1",0,0,0,2,0,0,0.337,0.4091,0.926248,0.999895,0.958148
"AT2G26780.1",0,0,0,2,0,0,0.334,0.4095,0.926493,1,0.958113
"sum212",27,35,40,25,33,50,0.057,0.4097,0.926615,1,0.958113
"AT3G16290.1",0,0,0,0,2,0,0.326,0.4101,0.92686,1,0.958113
"AT1G48410.1",0,2,0,0,1,0,-0.277,-0.3232,0.926925,0.908414,1
"AT1G68590.1",0,13,4,4,5,7,-0.112,-0.3241,0.927575,0.908413,1
"AT3G59980.1",3,1,0,0,0,2,-0.228,-0.3241,0.927575,0.908413,1
"AT1G54570.1",0,1,1,0,2,0,0.341,0.4119,0.927964,1,0.95808
"AT1G42960.1",0,0,0,0,0,2,0.319,0.4125,0.928332,1,0.958081
"sum129",95,115,124,86,120,81,-0.156,-1.9349,0.928436,1,0.534434
"AT2G33470.1",0,3,1,0,2,0,-0.236,-0.3267,0.92946,0.90844,1
"AT5G19690.1",0,0,0,2,0,0,0.324,0.4148,0.929745,1,0.95805
"AT1G32440.1",0,0,0,2,0,0,0.35,0.4148,0.929745,1,0.95805
"AT1G53670.1",0,1,2,0,2,2,0.286,0.4154,0.930114,1,0.95805
"AT1G30380.1",3,2,1,0,3,0,-0.208,-0.3284,0.930697,0.908471,1
"AT3G55610.1",0,5,0,9,3,5,0.884,2.0267,0.930825,0.330059,0.99742
"sum140",2,9,6,3,2,2,-0.894,-1.9319,0.930862,1,0.535494
"AT2G28605.1",0,2,0,0,0,0,-0.267,-0.3287,0.930915,0.90847,1
"AT4G33110.1",0,0,0,0,2,0,0.325,0.4173,0.931283,1,0.95802
"AT1G56050.1",2,2,4,1,3,3,-0.179,-0.3297,0.931644,0.908503,1
"AT4G17100.1",2,0,0,0,0,0,-0.258,-0.33,0.931863,0.908503,1
"AT1G72610.1",0,0,0,0,0,2,0.332,0.4189,0.932269,1,0.957992
"sum58",6,3,0,2,8,2,0.175,0.419,0.93233,1,0.957992
"AT2G39960.1",2,5,4,4,3,6,0.181,0.4191,0.932392,1,0.957992
"AT5G37475.1",1,0,0,1,2,0,0.353,0.4197,0.932762,1,0.957992
"AT2G14750.1",0,2,0,0,0,0,-0.27,-0.3315,0.932958,0.908537,1
"AT2G03680.1",0,0,0,1,2,0,0.349,0.4201,0.933009,1,0.957965
"AT1G09010.1",0,0,0,0,2,1,0.345,0.4207,0.933379,1,0.957965
"AT4G01100.1",0,0,2,0,0,0,-0.269,-0.3323,0.933543,0.908537,1
"AT1G14410.1",3,8,2,3,4,4,-0.137,-0.3325,0.93369,0.908536,1
"AT4G25100.1",7,0,3,0,0,0,-1.403,-1.9279,0.934093,1,0.537613
"AT3G51240.1",0,1,0,2,1,0,0.345,0.4219,0.93412,1,0.957966
"AT2G43710.1",6,8,9,4,5,3,-0.693,-1.9278,0.934174,1,0.537613
"AT5G54160.1",3,10,5,4,9,8,0.137,0.4222,0.934305,1,0.95794
"AT2G47510.1",3,0,0,0,0,2,-0.236,-0.3337,0.934569,0.908573,1
"AT1G11750.1",9,10,11,8,5,4,-0.589,-1.9272,0.934658,1,0.538672
"AT3G61050.1",0,0,0,2,0,0,0.349,0.4231,0.934861,1,0.95794
"AT5G18400.1",0,0,0,0,2,1,0.342,0.4235,0.935108,1,0.957941
"AT1G12050.1",3,2,1,0,0,3,-0.206,-0.3346,0.935229,0.908572,1
"AT2G42590.1",12,16,16,10,14,18,-0.069,-0.3348,0.935376,0.908572,1
"sum82",1,5,1,4,4,0,0.217,0.425,0.936035,1,0.957917
"AT4G18370.1",0,0,1,0,2,0,0.361,0.426,0.936654,1,0.957917
"AT1G06130.1",0,0,0,2,0,0,0.354,0.426,0.936654,1,0.957917
"AT3G07770.1",7,11,6,8,4,0,-0.658,-1.9247,0.936676,1,0.539734
"AT2G38230.1",3,22,14,10,13,21,0.093,0.4261,0.936716,1,0.957917
"AT5G57040.1",2,6,1,3,5,3,0.19,0.4261,0.936716,1,0.957917
"AT2G19860.1",1,3,6,0,1,0,-1.359,-1.9242,0.937079,1,0.539735
"AT3G46940.1",0,2,0,0,1,0,-0.279,-0.338,0.93773,0.908651,1
"AT2G45140.1",0,0,0,0,2,0,0.356,0.4283,0.938078,1,0.957895
"AT4G31300.1",2,13,4,6,6,5,-0.116,-0.3389,0.938393,0.908651,1
"AT3G22480.1",0,0,0,2,0,0,0.348,0.4304,0.93938,1,0.957874
"AT3G23700.1",4,5,1,3,6,3,0.196,0.4311,0.939815,1,0.957855
"AT4G16390.1",4,7,7,2,4,2,-0.835,-1.9208,0.939821,1,0.541861
"AT1G27385.1",0,0,0,2,1,0,0.342,0.4312,0.939877,1,0.957855
"AT2G09990.1",4,6,5,4,6,8,0.15,0.4315,0.940063,1,0.957855
"AT3G10260.1",0,2,0,0,1,0,-0.289,-0.3415,0.940315,0.908693,1
"AT4G28770.1",2,1,0,1,0,0,-0.273,-0.3416,0.940389,0.908692,1
"AT1G10830.1",0,0,0,0,2,1,0.343,0.4322,0.940497,1,0.957855
"AT1G23180.1",0,2,0,0,1,0,-0.284,-0.3428,0.941278,0.908737,1
"AT1G20580.1",0,2,1,0,0,0,-0.287,-0.3429,0.941352,0.908737,1
"AT5G08610.1",0,2,0,0,0,0,-0.28,-0.3429,0.941352,0.908737,1
"AT1G60710.1",5,6,0,0,1,2,-1.156,-1.9186,0.941594,1,0.542927
"AT5G04230.1",0,0,0,0,0,2,0.347,0.4347,0.942051,1,0.957837
"AT5G57020.1",1,2,0,2,2,1,0.322,0.4356,0.94261,1,0.957821
"AT4G17520.1",1,0,0,2,0,0,0.366,0.4356,0.94261,1,0.957821
"AT2G40060.1",0,2,2,0,2,0,-0.243,-0.3455,0.943283,0.908783,1
"AT3G52560.1",0,10,3,0,6,5,-0.135,-0.3459,0.94358,0.908783,1
"AT5G57170.1",2,0,1,1,1,0,-0.294,-0.346,0.943655,0.908783,1
"AT5G51100.1",4,3,4,5,6,2,0.185,0.4374,0.94373,1,0.957806
"AT4G30950.1",0,1,0,2,1,0,0.349,0.4384,0.944352,1,0.957806
"AT5G42080.1",1,1,0,0,2,0,0.376,0.4387,0.944539,1,0.957806
"AT5G05610.1",0,0,2,0,0,0,-0.284,-0.3472,0.944548,0.908832,1
"ATCG00190.1",5,4,0,4,7,1,0.186,0.4399,0.945287,1,0.957792
"AT1G33810.1",2,7,2,7,3,3,0.184,0.4412,0.946097,1,0.957793
"sum35",21,57,39,33,43,37,-0.045,-0.3493,0.946115,0.908883,1
"AT3G06850.1",1,0,2,0,0,0,-0.29,-0.3497,0.946414,0.908882,1
"AT1G20696.1",0,2,0,0,0,0,-0.286,-0.3499,0.946563,0.908882,1
"sum112",1,0,0,0,2,0,0.375,0.442,0.946596,1,0.95778
"AT1G59840.1",0,1,0,0,0,2,0.359,0.442,0.946596,1,0.95778
"AT5G14660.1",0,0,1,0,2,1,0.354,0.4424,0.946845,1,0.95778
"AT2G37270.1",0,2,0,1,0,0,-0.254,-0.3505,0.947012,0.908935,1
"AT3G47520.1",22,27,30,19,18,39,-0.055,-0.3508,0.947236,0.908935,1
"AT5G63910.1",0,0,0,2,0,0,0.359,0.4431,0.947282,1,0.95778
"AT3G02660.1",1,2,2,0,2,0,-0.26,-0.3513,0.94761,0.908935,1
"AT4G21580.1",0,0,0,0,2,1,0.366,0.4447,0.94828,1,0.957769
"AT3G08947.1",0,3,0,5,0,0,0.265,0.4452,0.948592,1,0.95777
"AT1G69830.1",8,26,2,8,24,1,-0.085,-0.3532,0.949034,0.90899,1
"AT3G62530.1",3,32,26,13,25,19,-0.064,-0.3533,0.949109,0.908989,1
"AT2G31570.1",4,8,7,5,4,8,-0.118,-0.3534,0.949184,0.908989,1
"AT2G29360.1",2,2,0,1,0,2,-0.247,-0.3537,0.949409,0.908989,1
"AT2G46820.1",15,8,17,13,16,8,-0.084,-0.354,0.949634,0.908989,1
"AT1G28290.1",2,0,0,1,0,0,-0.297,-0.3546,0.950084,0.908989,1
"AT5G09650.1",15,26,15,12,23,26,0.084,0.4486,0.950716,1,0.957752
"AT3G47810.1",0,2,0,0,0,0,-0.3,-0.3556,0.950836,0.909046,1
"AT1G04170.1",0,0,0,2,0,0,0.381,0.4495,0.951279,1,0.957752
"sum79",3,8,0,6,7,0,0.173,0.4498,0.951467,1,0.957752
"AT2G07360.1",0,3,2,0,3,0,-0.218,-0.3565,0.951513,0.909045,1
"AT5G27380.1",1,2,0,0,1,1,-0.295,-0.3565,0.951513,0.909045,1
"AT4G22010.1",0,0,0,1,2,0,0.362,0.4501,0.951654,1,0.957745
"AT5G28750.1",0,0,0,1,2,0,0.376,0.4502,0.951717,1,0.957745
"AT2G32520.1",1,3,2,2,2,0,-0.226,-0.3577,0.952416,0.909104,1
"AT2G39900.1",0,1,0,1,2,0,0.376,0.4519,0.95278,1,0.957746
"AT5G41520.1",15,9,16,13,12,19,0.102,0.452,0.952843,1,0.957746
"AT2G45820.1",2,0,0,0,2,2,0.319,0.4523,0.953031,1,0.95774
"AT1G54580.1",3,4,4,3,4,2,-0.158,-0.3586,0.953095,0.909104,1
"sum19",21,27,18,12,28,30,0.08,0.4525,0.953156,1,0.95774
"AT5G44070.1",0,0,0,2,0,0,0.362,0.4527,0.953281,1,0.95774
"AT5G64300.1",0,2,0,0,0,1,-0.294,-0.3589,0.953321,0.909103,1
"AT2G34040.1",2,7,3,0,1,2,-1.18,-1.904,0.95333,1,0.549341
"AT3G49680.1",2,6,2,2,5,2,-0.168,-0.3593,0.953623,0.909165,1
"AT2G44610.1",1,3,0,0,3,2,0.269,0.4533,0.953656,1,0.95774
"AT4G32180.1",1,2,0,0,1,0,-0.294,-0.3595,0.953773,0.909165,1
"AT3G51600.1",0,0,1,0,2,0,0.367,0.4536,0.953844,1,0.95774
"AT5G36230.1",1,2,1,0,0,0,-0.322,-0.3599,0.954075,0.909164,1
"AT5G02740.1",2,0,1,0,0,0,-0.296,-0.36,0.954151,0.909164,1
"AT1G54500.1",5,9,1,8,4,0,-0.136,-0.3603,0.954378,0.909164,1
"AT4G10120.1",0,0,0,0,2,0,0.389,0.4546,0.95447,1,0.957736
"AT1G09270.1",2,0,0,1,0,0,-0.305,-0.3605,0.954529,0.909164,1
"AT3G24170.1",1,2,0,0,1,0,-0.306,-0.3609,0.954831,0.909164,1
"AT2G17120.1",0,0,0,0,0,2,0.366,0.4554,0.954971,1,0.957736
"AT1G73990.1",2,0,0,1,0,0,-0.286,-0.3615,0.955284,0.909227,1
"AT3G15520.1",4,2,3,2,4,5,0.208,0.4571,0.956036,1,0.957733
"AT1G48920.1",0,0,0,0,2,0,0.368,0.4574,0.956224,1,0.957733
"AT5G25940.1",0,0,2,0,1,0,-0.282,-0.3628,0.956268,0.909226,1
"AT3G11730.1",2,1,0,1,0,3,0.302,0.4577,0.956412,1,0.957733
"AT4G37800.1",8,9,2,7,12,3,0.148,0.4582,0.956726,1,0.957734
"AT1G23130.1",1,1,1,2,1,0,0.377,0.4582,0.956726,1,0.957734
"AT2G05710.1",14,31,1,28,24,0,0.093,0.4583,0.956789,1,0.957734
"AT3G17840.1",2,3,1,2,2,0,-0.232,-0.3641,0.957253,0.909291,1
"AT1G72170.1",2,2,2,2,2,1,-0.224,-0.3643,0.957404,0.909291,1
"AT5G55160.1",0,2,0,0,0,0,-0.306,-0.3643,0.957404,0.909291,1
"AT1G51710.1",0,2,0,0,0,0,-0.293,-0.3643,0.957404,0.909291,1
"sum133",3,12,10,3,16,10,0.128,0.4595,0.957541,1,0.957732
"AT1G45201.1",0,0,0,0,2,0,0.362,0.4603,0.958043,1,0.957732
"AT5G36890.1",0,1,0,2,1,0,0.364,0.4604,0.958105,1,0.957732
"sum220",32,43,69,50,58,72,0.224,1.9983,0.958216,0.345385,0.997478
"AT5G53580.1",0,2,1,0,0,1,-0.308,-0.3664,0.958998,0.909357,1
"AT4G01900.1",3,3,3,3,4,4,0.216,0.4635,0.96005,1,0.957733
"AT1G53750.1",2,2,1,0,2,0,-0.257,-0.3679,0.960138,0.909425,1
"AT4G28470.1",0,2,1,0,0,1,-0.279,-0.368,0.960214,0.909425,1
"AT2G31390.1",3,3,4,0,0,0,-1.324,-1.8954,0.960217,1,0.553634
"AT5G16290.1",0,2,0,0,0,0,-0.306,-0.3683,0.960442,0.909425,1
"AT1G72550.1",0,2,0,0,1,0,-0.313,-0.3684,0.960519,0.909425,1
"AT4G02450.1",6,5,10,2,4,4,-0.775,-1.8943,0.961096,1,0.554708
"AT2G32090.1",0,0,0,1,2,0,0.376,0.4652,0.961118,1,0.957735
"AT5G03520.1",1,5,1,0,4,0,-0.205,-0.3701,0.961813,0.909495,1
"AT5G58590.1",2,0,0,0,0,0,-0.307,-0.3704,0.962042,0.909495,1
"AT2G37660.1",37,41,51,32,50,42,-0.045,-0.3705,0.962118,0.909495,1
"AT4G18030.1",0,3,3,3,1,0,-0.212,-0.3716,0.962957,0.909494,1
"AT1G24510.1",4,12,0,6,4,5,-0.133,-0.3722,0.963415,0.909567,1
"AT3G28270.1",0,2,1,0,0,0,-0.314,-0.3725,0.963644,0.909567,1
"AT5G18570.1",0,2,0,0,0,0,-0.308,-0.3729,0.963949,0.909567,1
"AT3G29360.1",10,8,10,7,13,11,0.121,0.4706,0.964509,1,0.957744
"AT1G16080.1",15,19,21,16,25,19,0.088,0.4708,0.964635,1,0.957744
"AT2G44490.1",1,3,0,2,0,0,-0.257,-0.3739,0.964713,0.909566,1
"AT4G13170.1",0,0,0,1,0,1,0.397,0.4723,0.965578,1,0.95775
"AT2G27720.1",10,12,20,17,14,15,0.1,0.4726,0.965766,1,0.957751
"AT5G27290.1",0,0,2,0,1,0,-0.307,-0.3753,0.965784,0.90964,1
