"Protein","rep1-triple","rep2-triple","rep3-triple","rep1-wt","rep2-wt","rep3-wt","LogFoldChange","Zstatistic","fdr","FDRup","FDRdown"
"AT5G20130.1",0,2,0,2,0,1,0.03,0.0399,0.784354,0.938902,0.993416
"AT3G07680.1",0,0,0,0,0,0,0.018,0.0193,0.784357,0.935632,0.996933
"AT5G49460.1",0,11,8,11,3,6,0.012,0.0401,0.784359,0.938902,0.993416
"AT5G43960.1",0,1,2,1,0,2,0.029,0.0401,0.784359,0.938902,0.993416
"AT3G15680.1",1,0,0,0,0,0,0.034,0.0401,0.784359,0.938902,0.993416
"AT3G03100.1",0,1,0,1,1,1,0.036,0.0402,0.784361,0.939273,0.993034
"AT4G14110.1",0,0,0,0,0,0,0.035,0.0402,0.784361,0.939273,0.993034
"AT5G08380.1",0,1,0,0,0,0,0.016,0.0188,0.784369,0.935632,0.996933
"AT5G05470.1",0,0,0,0,1,1,0.016,0.0186,0.784374,0.935277,0.997331
"AT5G48220.1",0,0,0,0,1,1,0.017,0.0185,0.784377,0.935277,0.997331
"AT2G03870.1",0,0,0,0,0,0,0.016,0.0185,0.784377,0.935277,0.997331
"AT4G05160.1",0,0,0,1,0,0,0.017,0.0185,0.784377,0.935277,0.997331
"AT3G04780.1",0,0,0,0,0,0,0.016,0.0184,0.78438,0.935277,0.997331
"AT3G20680.1",0,0,0,0,0,0,0.016,0.0182,0.784386,0.935277,0.997331
"AT4G04610.1",0,0,1,0,1,0,0.035,0.0412,0.78439,0.939272,0.993034
"AT4G19490.1",0,0,0,0,0,0,0.016,0.0176,0.784404,0.935277,0.997331
"AT1G01910.1",0,0,0,0,0,0,0.037,0.0418,0.784407,0.939272,0.993034
"AT5G20080.1",3,2,3,0,0,6,0.009,0.0173,0.784413,0.935277,0.997331
"AT2G32450.1",0,2,0,1,2,0,0.032,0.0421,0.784415,0.939272,0.993034
"AT3G47000.1",0,1,0,0,0,0,0.037,0.0421,0.784415,0.939272,0.993034
"AT3G27960.1",0,0,0,0,1,0,0.037,0.0421,0.784415,0.939272,0.993034
"AT5G42240.1",0,2,0,2,0,0,0.012,0.0172,0.784416,0.935277,0.997331
"AT4G26900.1",1,0,2,2,0,0,0.031,0.0422,0.784418,0.939272,0.993034
"AT4G01290.1",1,0,0,0,0,0,0.037,0.0423,0.784421,0.939272,0.993034
"ATCG00500.1",2,4,2,3,4,0,0.009,0.017,0.784422,0.935277,0.997331
"AT1G10510.1",0,1,0,1,0,0,0.015,0.017,0.784422,0.935277,0.997331
"AT5G63100.1",0,1,0,0,0,0,0.016,0.017,0.784422,0.935277,0.997331
"AT1G09750.1",8,7,7,8,9,5,0.005,0.0167,0.78443,0.935277,0.997331
"AT4G19006.1",0,0,0,0,0,0,0.039,0.0427,0.784434,0.939645,0.992653
"AT5G45280.1",0,0,0,0,0,0,0.014,0.0162,0.784447,0.934923,0.997731
"AT1G52670.1",6,4,3,4,5,4,0.017,0.0432,0.784451,0.939645,0.992653
"AT1G50170.1",0,0,1,0,0,0,0.038,0.0435,0.784461,0.939645,0.992653
"AT4G09620.1",0,3,2,2,2,2,0.009,0.0158,0.784462,0.934923,0.997731
"AT3G19420.1",0,1,0,0,0,0,0.038,0.0436,0.784465,0.939645,0.992653
"sum96",8,18,25,15,19,15,0.009,0.0437,0.784468,0.939645,0.992653
"AT1G78060.1",0,0,0,0,0,0,0.042,0.044,0.784478,0.939645,0.992653
"AT1G44170.1",0,0,0,0,0,0,0.014,0.0153,0.784479,0.934923,0.997731
"AT3G53180.1",1,0,0,1,0,0,0.014,0.0152,0.784482,0.934923,0.997731
"AT1G04530.1",1,0,0,0,0,0,0.039,0.0443,0.784488,0.939645,0.992653
"AT5G07030.1",1,0,0,0,0,0,0.04,0.0444,0.784491,0.939645,0.992653
"AT1G30540.1",1,1,0,0,0,0,0.039,0.0446,0.784499,0.940019,0.992274
"AT1G26460.1",0,0,0,1,0,0,0.013,0.0147,0.7845,0.934923,0.997731
"AT3G13330.1",0,0,0,1,0,0,0.013,0.0144,0.78451,0.934571,0.998132
"AT1G16340.1",0,0,0,0,0,0,0.041,0.045,0.784515,0.940019,0.992274
"AT1G27930.1",0,0,0,0,0,0,0.039,0.045,0.784515,0.940019,0.992274
"AT1G14250.1",1,2,2,3,0,0,0.03,0.0452,0.784522,0.940019,0.992274
"AT2G15860.1",0,0,0,0,0,0,0.012,0.0141,0.784522,0.934571,0.998132
"AT1G07700.1",0,0,0,1,0,0,0.013,0.0139,0.78453,0.934571,0.998132
"AT1G62480.1",0,0,0,0,0,0,0.044,0.0456,0.784538,0.940018,0.992274
"AT4G16450.1",2,2,4,2,3,3,0.007,0.0134,0.784551,0.934571,0.998132
"AT5G60620.1",0,0,0,0,1,0,0.041,0.0463,0.784565,0.940018,0.992274
"AT1G75460.1",0,0,0,0,0,0,0.012,0.0129,0.784571,0.934571,0.998132
"AT3G07230.1",0,0,0,0,0,0,0.011,0.0129,0.784571,0.934571,0.998132
"AT2G45990.1",0,1,1,0,0,0,0.011,0.0126,0.784583,0.934571,0.998132
"AT3G26080.1",0,0,0,0,0,0,0.011,0.0125,0.784587,0.934571,0.998132
"AT1G80750.1",0,1,2,0,1,2,0.035,0.0469,0.78459,0.940394,0.991896
"AT1G72160.1",0,1,0,0,0,0,0.011,0.0124,0.78459,0.934571,0.998132
"AT1G05385.1",1,0,0,0,0,0,0.011,0.0124,0.78459,0.934571,0.998132
"AT2G13560.1",0,1,0,0,1,1,0.01,0.012,0.784608,0.934221,0.998535
"AT5G55660.1",0,0,0,0,0,0,0.01,0.0119,0.784613,0.934221,0.998535
"AT1G65270.1",1,0,0,0,0,0,0.04,0.0475,0.784616,0.940394,0.991896
